"date","allgender_allage","male_allage","female_allage","nogender_allage","allgender_0","allgender_20","allgender_30","allgender_40","allgender_50","allgender_60","allgender_70","allgender_80","allgender_noage","male_0","male_20","male_30","male_40","male_50","male_60","male_70","male_80","male_noage","female_0","female_20","female_30","female_40","female_50","female_60","female_70","female_80","female_noage","nogender_0","nogender_20","nogender_30","nogender_40","nogender_50","nogender_60","nogender_70","nogender_80","nogender_noage","events","event_tags","temperature_avg","temperature_max","temperature_min","rainfall","sunshine"
"2023/12/31","760","116","114","530","7","33","69","65","45","10","1","0","530","4","19","24","31","29","8","1","0","0","3","14","45","34","16","2","0","0","0","0","0","0","0","0","0","0","0","530","","","9.0","12.7","6.2","19.0","1.9"
"2024/01/01","911","187","157","567","10","42","98","117","64","13","0","0","567","3","20","50","65","41","8","0","0","0","7","22","48","52","23","5","0","0","0","0","0","0","0","0","0","0","0","567","【1/1開催】第４回桜城橋初日の出ラジオ体操会","桜城橋","8.1","12.3","3.8","0.0","9.1"
"2024/01/02","775","161","134","480","26","45","74","85","52","12","1","0","480","15","19","35","50","33","9","0","0","0","11","26","39","35","19","3","1","0","0","0","0","0","0","0","0","0","0","480","","","7.0","13.6","1.3","0.0","6.0"
"2024/01/03","1021","187","154","680","28","66","108","80","45","14","0","0","680","15","37","58","40","27","10","0","0","0","13","29","50","40","18","4","0","0","0","0","0","0","0","0","0","0","0","680","","","5.9","11.9","-0.1","2.0","0.4"
"2024/01/04","1829","325","279","1225","40","112","166","151","104","31","0","0","1225","19","71","75","74","60","26","0","0","0","21","41","91","77","44","5","0","0","0","0","0","0","0","0","0","0","0","1225","","","8.3","13.9","0.5","0.0","8.2"
"2024/01/05","1797","313","267","1217","28","109","139","189","96","19","0","0","1217","13","64","65","96","63","12","0","0","0","15","45","74","93","33","7","0","0","0","0","0","0","0","0","0","0","0","1217","","","4.9","12.6","-1.5","0.0","9.1"
"2024/01/06","2186","386","326","1474","59","166","208","165","84","30","0","0","1474","31","85","113","79","50","28","0","0","0","28","81","95","86","34","2","0","0","0","0","0","0","0","0","0","0","0","1474","【1/6、1/20開催】新鮮野菜の朝市","乙川河川緑地","7.4","14.8","0.4","0.5","8.2"
"2024/01/07","1741","277","250","1214","38","101","146","142","85","15","0","0","1214","10","59","71","73","54","10","0","0","0","28","42","75","69","31","5","0","0","0","0","0","0","0","0","0","0","0","1214","","","6.7","9.7","2.9","0.0","6.2"
"2024/01/08","1405","202","258","945","41","69","139","124","68","19","0","0","945","16","34","63","43","35","11","0","0","0","25","35","76","81","33","8","0","0","0","0","0","0","0","0","0","0","0","945","【1/8開催】どうするＮＡＢＥ-1岡崎城グランプリ~一万人鍋~決勝戦を開催します！","伊賀川・岡崎公園エリア","2.9","7.2","-2.9","0.0","8.8"
"2024/01/09","1390","162","216","1012","28","55","106","110","64","15","0","0","1012","8","22","39","44","34","15","0","0","0","20","33","67","66","30","0","0","0","0","0","0","0","0","0","0","0","0","1012","","","2.0","8.9","-4.4","0.0","9.1"
"2024/01/10","1118","149","189","780","9","68","90","99","52","19","1","0","780","3","34","36","38","26","12","0","0","0","6","34","54","61","26","7","1","0","0","0","0","0","0","0","0","0","0","780","","","4.1","10.8","-3.0","0.0","2.1"
"2024/01/11","1239","175","226","838","15","66","119","124","59","17","1","0","838","5","28","41","56","31","14","0","0","0","10","38","78","68","28","3","1","0","0","0","0","0","0","0","0","0","0","838","","","3.6","9.5","-1.9","0.0","2.8"
"2024/01/12","1435","171","272","992","13","80","134","134","61","21","0","0","992","4","30","49","52","24","12","0","0","0","9","50","85","82","37","9","0","0","0","0","0","0","0","0","0","0","0","992","","","4.9","11.6","-3.9","0.0","8.2"
"2024/01/13","1093","183","146","764","25","55","94","90","47","17","1","0","764","13","27","50","50","29","13","1","0","0","12","28","44","40","18","4","0","0","0","0","0","0","0","0","0","0","0","764","【1/13、1/27開催】籠田公園清掃|【1/13開催】おとがわリバークリーン","乙川河川緑地|籠田公園","5.3","10.8","0.7","0.0","3.3"
